review,sentiment
 The hotel is absolutely second to none if you like modern high tec modern hotels We did even though we are getting on Fabulous alround You can lay on the fabulous comfortable bed and control everything via a tablet Spotlessly clean and attention to detail Recommended ,POSITIVE
 We had an excellent stay at Park Plaza County Hall Reception and concierge staff were very polite and helpful We will definately try to stay here on our next break in London ,POSITIVE
 Bed duvet not soft,POSITIVE
 The lack of a sitting room or similar where we could sit with our family and chat It took us a while to realise that we could use the restaurant for this as it doubled up as a bar and meeting area ,NEGATIVE
 Lack of milk and biscuits in the room,NEGATIVE
 Large well maintained bedrooms,POSITIVE
 From check in too check out Got a upgrade too which was nice,POSITIVE
 Weak Wifi in bedroom though strong enough in hallway ,NEGATIVE
 Staffs are very kind at the breakfast Lovely room ,POSITIVE
 location GREAT staff were warm and welcoming arrival cookie delicious roof top bar great and beautiful view room had everything we needed comfortable bed clean bathroom bonus having a hair drier and ironing accessories room was comfortable and cosy,POSITIVE
 Rooms can be a little bit bigger,POSITIVE
 High tech Modern Perfect location Excellent service at every level Excellent well maintained facilities lots unexpected plesent surprises Many thanks ,POSITIVE
 Great location for theatre and sightseeing ,POSITIVE
 The man who checked us in was very polite and helpful excellent service The door staff were equally helpful The upgrade for access to the lounge was good value for money and the English breakfast was the best we had in many weeks in England Our room was clean and comfortable and the bed was especially good The view was brilliant ,POSITIVE
 Not really anything to complain about perhaps the operation off the room card security on the lifts could be more intuitive ,NEGATIVE
 The accommodation itself friendly English speaking staff excellent breakfast and evening meal ,POSITIVE
 Brilliant location Decent sized room Would definitely use again ,POSITIVE
 The building works,POSITIVE
 Quality of finish in the rooms stunning views and courtesy ferry to Canary Wharf shopping and tube ,POSITIVE
 Staff wonderful helpful and friendly Perfect location close to everything,POSITIVE
 Good location close to Buckingham palace Hyde park and Southbank Reception staff was very friendly and helpful throughout our stay ,POSITIVE
 Breakfast,POSITIVE
 Rooms could be bigger but in that central location fine,POSITIVE
 The location was excellent our room was a good size considering where we were located I particularly liked the wooden shutters which blocked out both light and noise The breakfast was excellent and only 10,POSITIVE
 Long corridors but good exercise ,POSITIVE
 Bed was very comfortable ,POSITIVE
 Room was very hot and there is no way to control temperature Continuous noise was there from window No water bottle Bed was not good Will not choose next time this hotel,NEGATIVE
 The staff were superb clearly a very well managed hotel Our room was great the deal for breakfast added value All in all with parking costs it was not a cheap stay but it is London We would definitely consider this hotel again ,POSITIVE
 very narrow between bathtube and washbasin,NEGATIVE
 We didn t get the room we had booked we had asked for and paid for a river view and ended up not getting a view at all The heating didn t work the television did not show the main channels the hair drier didn t work ,NEGATIVE
 Excellent very modern and classy,POSITIVE
 The family rooms should have a pull out sofa and or more current sofa that the room can accommodate 4 people Was very tight for a family room ,NEGATIVE
 Disturbed mornings with rails of cleaning tollys chatting staff and movement right outside the door Was promised a good view that I didnt get Empty minibar First timer Long waiting cues for inquiries and check ins Ate up at least 3 hours of my trip No joke Unfriendly greetings by conceirge and bell boys,NEGATIVE
 Comfy bed and quiet room,POSITIVE
 Great location,POSITIVE
 Silvia gave us free drinks and a room upgrade to a suite with a beautiful room as it was my 30th birthday The breakfast was extensive and everything was being cooked regularly so was nice and fresh Couldn t fault the room it was immaculate Everything was perfect for my special day ,POSITIVE
 Staff were very welcoming and helpful Breakfast delicious ,POSITIVE
 Room smelt of smoke and was freezing cold,NEGATIVE
 We had a fantastic view of London from our room Amazing staff ,POSITIVE
 Nobody told me that my free upgrade which I had initially declined when it was offered at 20 00 was to a room overlooking a building site with all its incidental and early morning noise ,NEGATIVE
 Lobby and public areas relatively worn down and dated Crowded breakfast and service was not as good as in virtually any other London 4 stars I ve stayed in My room had window opening to a small courtyard which was extremely shappy,NEGATIVE
 Lack of local information in room ,NEGATIVE
 Cheaper snacks and soft drinks ,POSITIVE
 N a,POSITIVE
 The staff at the room service section are rude and unfriendly Especially the manger,NEGATIVE
 Shower water was not quite hot enough,NEGATIVE
 Room and hotel in very high level But I have came because i have expected to see the river view froom my room window The only thing I saw was my neighbors windows,NEGATIVE
 We ate in the Italian restaurant on Friday evening Our waitress was exceptional but this was were our experience ended The food was truly atrocious My husbands spaghetti bolognese went back twice but was still luke warm My steak was below average and how a kitchen can not cook chips so that they are not rock hard is beyond belief Such a shame ,NEGATIVE
 The location is awesome The room is also very comfortable ,POSITIVE
 Good location Excellent rooms spacious ,POSITIVE
 Not very much apart from the location,NEGATIVE
 1 quit place 2 clean,NEGATIVE
 Bed was very comfortable and cozy Room was super clean and I loved the fact that everything was newly built 2015 Staff were very friendly and willing to make guests feel at home Location was great because it was only 5 minutes by walk to the train station The Jubilee line is so efficient in terms of going to other touristic popular destinations Even if it looks quite far from the distance wise it only took about 15 min by train to arrive at the most popular stations like Green Park etc ,POSITIVE
 The hairdryer could have been more powerful ,NEGATIVE
 Everything Location staff room nice and clean breakfast good All good,POSITIVE
 It was perfect ,POSITIVE
 Big Size lower cost,NEGATIVE
 The hotel is little bit crowded especially during breakfast time The gym facilities need more improvement machines and space ,NEGATIVE
 The staff is poorly trained which results in slow check in Bin bag has not been replaced with baby nappy still in and the room and bed reeked of mould Elevator door can t shut properly and card key needs to be swiped at front desk every time before use ,NEGATIVE
 The location was central to everything Clean friendly staff yummy fresh breakfast Everytime I looked out the window there was Big Ben Perfect We could walk or catch the hop on off bus just across the road ,POSITIVE
 nil,NEGATIVE
 Extremely small room and no soundproofing the noise from the above room kept me up in the middle of the night ,NEGATIVE
 Hard to find the hotel if you ve never been before and have only used the underground Next time I ll use the riverboat No tv remote in the room But I did find a great pub down the road because of this Reception was busy so I had a walk round the area ,NEGATIVE
 Staff allowed people to use the escalator up to the 3rd floor and hi jack the lifts on their way down to the ground floor preventing those waiting on the ground floor from getting to floors 4 and above ,NEGATIVE
 Drink prices in the bar were quite expensive 35 for 2 drinks ,NEGATIVE
 The size and quality,POSITIVE
 The breakfast was very good ,POSITIVE
 4 star rated hotel Has not even got the quality of a 3 star Rude staff I arrived at 12 30 and had to wait till 3pm The receptionist told me that I can upgrade you to another room for 30 pounds a night and I only wanna do this is because I am in a good mood today Very unprofessional Bed was so uncomfortable I still have back pain from sleeping there for 5 nights Carpets are old The facility is absolutely different to the pictures advertised I really regret staying there and I paid 930 Australian dollars ,NEGATIVE
 The water is softened which is just a matter of opinion I just am not fan ,NEGATIVE
 Nothing It was perfect,NEGATIVE
 Nothing,NEGATIVE
 Aircon didn t work properly I booked a delux double room was told i was upgraded to club room which was across the road the room was so small there was hardly room for 2 suitcases Also difficult to get out of one side of the bed because of lack of space between bed and wall ,NEGATIVE
 Very good special dinner for the Andre Rieu concert ,POSITIVE
 The bedroom was clean and modern with good facilities,POSITIVE
 The staff were most friendly and helped make the stay enjoyable ,POSITIVE
 Rooms very comfortable Breakfast superbly organised by extremely helpful and friendly staff,POSITIVE
 Very friendly and welcoming staff great location free breakfast was amazing ,POSITIVE
 Convenient for visiting the Royal Albert Hall Knightsbridge,POSITIVE
 eyal reception menger perfect bussines launch great stuff,POSITIVE
 Nothing,NEGATIVE
 The room was amazing I loved how everything was so modern the spa was beautiful,POSITIVE
 Great value for money Clean cheap Would stay here again,NEGATIVE
 Helps from bags carry staff,POSITIVE
 View from the room,POSITIVE
 Breakfast,POSITIVE
 Handy location near tube and shops Singaporean restaurant excellent,POSITIVE
 Friendly staff from reception to housekeeping Great location near underground station historical tourist sites and great bars and restaurants ,POSITIVE
 I brought my husband to London for his birthday The hotel was excellent the staff so helpful Would defo recommend staying here again Breakfast was a feast,POSITIVE
 Everything was perfect we can t fault this hotel From the staff to the food to the drinks to the room etc everything was amazing Definitely recommend this hotel ,POSITIVE
 Central location with easy access to main sights Large room with terrace and great view of London skyline Very helpful and friendly check in staff thanks Olivia ,POSITIVE
 Location,POSITIVE
 Very good location very friendly staff ,POSITIVE
 Check in and out rather slow Sky garden bar excessive price for drinks ,NEGATIVE
 Excellent location beautiful hotel Best gin n tonic ever in hotel bar with excellent live music ,POSITIVE
 The staff were very friendly and helpful They attended to every single requirement The club room was nice and spacious neat and tidy ,POSITIVE
 The bed was really big all the staff are really friendly hotel has an overall nice atmosphere ,POSITIVE
 The room was extra large ,POSITIVE
 Poor lightning,NEGATIVE
 In room at back of building could hear all the noise from school ,NEGATIVE
 pillows a bit thin and hard ,NEGATIVE
 The peace and accessibility,POSITIVE
 Rooms were tiny ,POSITIVE
 no a c very hot breakfast A bit high but good,POSITIVE
 The decor in the rooms needs sone uplating I always stay at this hotel when in London it needs some freshening up in order to maintain the standard of a four star hotel ,NEGATIVE
 Location is central to so many places Within walking to Covent Garden tubes Leicester Square Trafalgar Square Would definitely stay again ,POSITIVE
 The hotel is in need of some maintenance our first room did not have a working air conditioner some light bulbs needed replacing and the maid service was inconsistent in the replacement of towels and cups and vacuuming ,NEGATIVE
 nothing very good value for money,NEGATIVE
 There was no elevator the wing my room was in and I needed help with my suitcase The room was tiny which I didn t mind but a bigger person might even have trouble turning around there ,POSITIVE
 No vegetables in breakfast The main entrance of the hotel yard is big but it s not allowed to enter with the car not even to take out the suitcases from the car The parking is behind the hotel When you navigate to the hotel entrance you can easily miss the parking driveway ,NEGATIVE
 need more twin accessible rooms had to share double bed with my disabled mother which on the plus side was huge ,NEGATIVE
 the lifts where some time not working,NEGATIVE
 Location was perfect ,POSITIVE
 Wet Pillowcases ,NEGATIVE
 Room was excellent Executive lounge stunning,POSITIVE
 Staff Very Pleasant,POSITIVE
 Location,POSITIVE
 Very cumbersome check in process,NEGATIVE
 The huge bed in the king size room was so comfortable We had a great night sleep ,POSITIVE
 Comfortable bed and a good sized room Able to make hot drinks and having an ice machine in the hallway was a bonus Water and sweets were left for us on arrival Staff dealt with problems with the room quickly Could to see part of the London Eye and Big Ben from the window so we enjoyed the view Laundry room was useful when you have a longer stay ,POSITIVE
 See above,POSITIVE
 Great location friendly staff,POSITIVE
 Upon check in we got a card for 60 minutes of free wi fi For any more we would have had to pay This seems ridiculous to me Everyone has free wi fi these days I m willing to pay a little more for nice things at a nice hotel but paying for wi fi in 2015 is just too much ,NEGATIVE
 Great location with easy access to Queensway and Bayswater tube stations and about 15 minutes walk from Paddington Station Airport Express Good eateries in Westbourne Grove and good Chinese eateries in Queensway Edwardian dark oak panelling through public rooms is impressive ,POSITIVE
 The persons at the front desk were all very helpful and nice The location is ideal for making a short trip to Greenwich on the river on the sunny day as well as is convenient for both the underground and DLR The hotel ferry across the river run frequently so the access to Canary Wharf was good Enjoyed the breakfast with the view of a heron and seagulls ,POSITIVE
 Due to the nature of the event in London the price was premium Bathroom was small for an executive room,NEGATIVE
 Lower ground floor room with very small bathroom which reception told us was an upgrade ,NEGATIVE
 As wife said few More shops,NEGATIVE
 There is train connection near the hotel and its into the center zone Good room decoration ,POSITIVE
 The staff is really nice and the breakfast is perfect ,POSITIVE
 No bad points,POSITIVE
 Rooms were sometimes not made during the day Restaurant was not big enough to cope with breakfast,NEGATIVE
 Lovely area close to underground Main hotel foyer was very nice We didn t eat in the hotel preferring to go out to a couple of restaurants nearby Ffiona s for evening meal fantastic Bill s for breakfast good value for money Rooms were described as Superior but were really just your average hotel room Clean comfortable but fairly basic Bathroom was small but adequate ,POSITIVE
 I liked that the room was sound proof adequate room facilities ,POSITIVE
 We got an upgrade,POSITIVE
 Gorgeous hotel in a perfect location 2 minute walk to Westminster tube station View of London eye Big Ben Staff are more than helpful and very polite welcoming Rooms are beautiful elemis toiletries very clean Thank you ,POSITIVE
 The double bed was something else The mattress was extremely hard we hardly slept at all The bedcover was very thin and not wide enough to cover two people We would not stay there again ,NEGATIVE
 The staff were friendly and helpful The bar area provided a nice space for a late night drink after visiting the theatre ,POSITIVE
 How its clean not costly and comfortable ,POSITIVE
 Charged for a night because the Airline cancelled the flight ,NEGATIVE
 Only downside was the waiter at breakfast forgot to give me my tea as it was so busy ,NEGATIVE
 very clean,POSITIVE
 Stuff left in room from the last person that stayed there,NEGATIVE
 The room was very shabby light bulbs not working black tape over splits in an armchair all furniture very tatty Very very disappointed and the room was supposed to be an upgrade Breakfast wasn t very warm either I would of preferred a travel lodge,NEGATIVE
 Convenient to underground and Kensington High Street,POSITIVE
 Hot food on breakfast buffet a little dry ,NEGATIVE
 Building works Be,POSITIVE
 nothing,NEGATIVE
 Comfy and clean room with great modern features ,POSITIVE
 The rooms are very large as was the bed Super King and very comfortable Hotel is bright and modern located just off the motorway ,POSITIVE
 The hotel is beautiful and well looked after We even got updated as we turned up early and our room was not available ,POSITIVE
 The staff where extremely professional helpful friendly The breakfast selection available is amazing The hotel is very close to the tube station we would def stay here again ,POSITIVE
 Being greeted by a happy member of staff before even entering the hotel Helpful and friendly reception staff The cleanliness of the room and the amazing choice at breakfast ,POSITIVE
 Excellent location for wembley stadium arena ,POSITIVE
 Nothing Perfect for the price,NEGATIVE
 We had a river view which was beautiful Meal in the restaurant which was lovely Need to book in advance Tempura vegetables and thai vegetable curry for me Hubby had crispy duck and chicken curry He would have been happy with a whole table of crispy duck A lovely end to a great day Great mocktails aswell Easy access to the tube station Either Westminster or Vauxhall within 10 minutes ,POSITIVE
 Everything I like it it s amazing ,POSITIVE
 1 Nice hotel in green area 2 Strong Wifi 3 Good room,POSITIVE
 Everything,POSITIVE
 Comfortable and clean rooms quiet environment ,POSITIVE
 Public areas are lovely staff wonderful,POSITIVE
 Location staff value for money ,NEGATIVE
 The service was excellent and staff very professional and very accommodating when we had to move hotels because of a burst boiler,POSITIVE
 Beautiful hotel we had an amazing stay from the moment we walked though the door ,POSITIVE
 Excellent choice of breakfast ,POSITIVE
 Managers,POSITIVE
 The staff were useless There were many examples but the main one was when I asked concierge how long it takes to travel by taxi to the airport and the answer I received was I dunno Then I asked how to get there using public transport and again the answer was I dunno There are only 3 airports in london so concierge should really know the details of how to get to all of them ,NEGATIVE
 The concierge looked great ,POSITIVE
 Overall very pleased with the hotel,POSITIVE
 Exceptional in every way ,POSITIVE
 Location to public transport tube station a short walk Restaurants cafes and shops very close and convenient,POSITIVE
 The installation facilities breakfast big bed ,POSITIVE
 Excellent location,POSITIVE
 Very nice room ,POSITIVE
 Lovely Stay at Park Plaza Westminster Beautiful Hotel room lovely room and facilities excellent breakfast very helpful staff,POSITIVE
 Good hotel Nice clean spacious room Respect to the young barman with afro hair for professional Work ,POSITIVE
 Room was clean and modern,POSITIVE
 Conceirge staff got us directions and information about every place we wanted to visit and the hotel is perfectly located 1 minute walk to subway and 10 minute walk to major museums ,POSITIVE
 Everything was perfect ,POSITIVE
 Super breakfast and comfy beds,POSITIVE
 the tower wing is a little old and dated old carpets however since we only go there to sleep did not bother us much ,NEGATIVE
 Very comfortable friendly hotel spacious room with nice view across city Room was cleaned and made up daily ,POSITIVE
 Breakfast is expensive ,NEGATIVE
 Housekeeping walked into my room at 9am when i was asleep in bed with my partner There was also a crane operating literally out side the window of my room along with a construction site Very upsetting considering the price of yhe room ,NEGATIVE
 The bath should have had a shower screen or curtain ,NEGATIVE
 can t fault it ,POSITIVE
 Location was excellent very dated decor worst I ve ever seen in a hotel but it was clean ,POSITIVE
 Good hotel for the price ,POSITIVE
 Location and staff,POSITIVE
 Everything perfect but don t take the hotel taxi it is too expensive and the driver take more money for himself ,NEGATIVE
 Stayed due to concert at Wembley Great location Family room was perfect ,POSITIVE
 N A,POSITIVE
 Having requested particular rooms in both visits Only to be given something totally different All staff really friendly but reception didn t listen to to our request so both stays got off to a bad start Would stay again though,NEGATIVE
 The staff were dismissive when I asked for any information or advice,NEGATIVE
 el hotel en general y la habitaci n amplia limpia y confortable,NEGATIVE
 The hotel itself was beautiful inside however the staff apart from one were all very rude and unhelpful Also I rang up to enquire about parking and was hung up on twice then told the only was to book parking was online for 37 I booked online and it cost me over 50 when I mentioned this at reception the receptionist kindly told me this wasn t her problem nice Should of told her there and then that I was a hotel blogger but I like to have an unbiased stay to give a real review ,NEGATIVE
 Great rooms in a great location,POSITIVE
 very expensive to book trough agence where did English workers go ,NEGATIVE
 Location,POSITIVE
 The check in was very quick and efficient All the staff were very friendly and helpful Quite close to tube station,POSITIVE
 The location Close to Paddington main line and underground stations Plenty of cafe s and restaurants in the area ,POSITIVE
 good food very nice staff,POSITIVE
 Room size,POSITIVE
 Nice hotel but a bit tired inside for example the main staircase carpet is showing lots of wear Breakfast is OK but limited choice particularly if you don t want a Full English ,NEGATIVE
 Nice comfortable room Parking free Near to the underground station 5 min walking Good breakfast Very good price,POSITIVE
 Felt spoilt and well looked after Comfortable happy stay Someone available all day and night Lovely staff Breakfast in bed Luxury hotel ,POSITIVE
 Room was small but manageable we weren t visiting to spend time in a hotel room so it wasn t much of a drawback ,NEGATIVE
 The bird poo on our balcony,NEGATIVE
 An area to sit incomfort away from the bar would have been appreciated ,NEGATIVE
 Wifi only in communal areas You need a code for the room and it only entitles you to 1 hour,NEGATIVE
 Great room with really comfortable beds 3 of us stayed in the one bedroom suite which was really spacious Two of us had the double bedroom whilst the 3rd person was on the sofa in the lounge area ,POSITIVE
 Pool rules unreasonable,NEGATIVE
 We liked everything about it ,POSITIVE
 Location was great Great piano player in the foyer on a Friday night,POSITIVE
 Concierge was awesome Room wAs nice after an upgrade fee was paid ,POSITIVE
 Sky lounge amazing drinks amazing views ,POSITIVE
 Shower a tad small to get away from the water when washing your hair but really I m being very petty here ,NEGATIVE
 It was very comfortable and lots of room Very clean All around pleasure to be in the room and the bathroom was awesome ,POSITIVE
 The staff was terrific friendly and attentive And I liked the location out of the way abit but quiet Plus we got upgraded ,POSITIVE
 The location was good and the hotel was very smart and clean ,POSITIVE
 Rooms were miles bigger than I initially thought they would be Under a 10 minute walk to Lancaster Gate tube station and only one stop to Marble Arch to winter wonderland It made getting about very easy The tube station is opposite kensingtons gardens which is a lovely place to visit for a nice walk The bed in the room was massive and they put on a glorious display for a birthday treat anniversary,POSITIVE
 Paid wifi,POSITIVE
 The hotel was very central and you could feel the history in the place The gin bar was cool ,POSITIVE
 the gym could be better looked after especially the lower level of the gym ,NEGATIVE
 Small room,POSITIVE
 Nice and quite area ,POSITIVE
 Everything perfect Hotel is far from city center but metro station is close so that is not downside at all because you can reach every part of city in few minutes Value for money is outstanding ,POSITIVE
 The bed was very hard and we thought we was getting a river view when we complained a staff member left us waiting for half an hour and we gave up waiting,NEGATIVE
 Staff were amazing second time we have been back in 1 month both times for an occasion and staff went above and beyond to make our weekend amazing ,POSITIVE
 Location housing service ,POSITIVE
 Friendly professional staff,POSITIVE
 Sky high prices in the skyhigh bar ,NEGATIVE
 Toilets in the downstairs overflow dining room could have done with a bit more of a clean It may have just been bad timing on my part,NEGATIVE
 If you re the kind of traveler who doesn t like to pay for high speed internet access then don t stay here Normal internet speeds are free to access but for anything more heavy duty a pretty hefty fee is involved ,NEGATIVE
 The toilet seats were scratched and was not cleaned well ,NEGATIVE
 The staff tried very hard to be accommodating but the hotel and booking com put them in a difficult situation ,NEGATIVE
 breakfast and reception ,POSITIVE
 pillows not super comfortable need replacing,NEGATIVE
 Room comfortable with a bath,POSITIVE
 We have no complains ,POSITIVE
 Proximity,POSITIVE
 One of the best family stays I have found in London,POSITIVE
 Close to Westminster and short walk to underground,POSITIVE
 The little things such as having chocolates delivered to your room each night and concierges were extremely helpful and knowledgeable From check in to check out the service was second to none ,POSITIVE
 The room was small and even though I turned the radiator up was very cold all night ,NEGATIVE
 Location was good,POSITIVE
 Lie,NEGATIVE
 Very nice and clean,POSITIVE
 NOTHING TO LIKE,NEGATIVE
 Room bathroom very small Breakfast 17 50 pp far too expensive,NEGATIVE
 NOT REALLY VALUE FOR MONEY FOR THE SIZE OF THE ROOM ALSO STILL HAVENT HAD AN INVOICE EVEN AFTER CONTACTING THE HOTEL AGAIN ,NEGATIVE
 Room was very spacious well designed with good separation of the children sleeping area on a pullout sofa and a TV for each Large bathroom with both full size tub shower Even had a small kitchenette area with microwave ,POSITIVE
 Very expensive,NEGATIVE
 Reasonable rates very accomodating and friendly staff good location near Paddington station and tube Hyde Park and Kensington rooms are quite big for London they have an elevator and beds are very comfortable I slept like a baby ,POSITIVE
 We were greated very nicely and we was instantly upgraded to a top floor room The room was amazing and lovely and clean The pool sauna and steam rooms were a very pleasent free adition to hotel guests Overall would live here if i could ,POSITIVE
 Only one thing the wardrobes were very dark and could have done with some lights,NEGATIVE
 I thought the staff were a bit rude They were standing at the desk laughing and holding a piece of paper up over their faces so no one could see what they were talking about Made me feel really uncomfortable however I was there simply for a nights stay so the staff didn t bother me,NEGATIVE
 The front of house staff could be a little more friendly and helpful when greeting staff ,NEGATIVE
 Bed v comfortable and room very stylish Person at the lobby check in was very helpful and put us on the same floor great ,POSITIVE
 Nonsense hotel,NEGATIVE
 liked a variety for breakfast and staff,POSITIVE
 Main areas of hotel were nice,POSITIVE
 Nothing going to complain about ,POSITIVE
 My bank card got cloned at your hotel,NEGATIVE
 I booked this hotel a few months ago as my son was running the London Marathon and wanted to book early to avoid disappointment On Friday the day before our travel we received an email from yourselves advertising the hotel for 200 less than we paid but unfortunately we were unable to get any reduction on the price paid which is dissapointing I will not be booking any accommodation with yourselves unless last minute bookings,NEGATIVE
 Room was very small there honestly wasn t room to swing a cat rug on floor covering access door nearly caused an injury hidden service charge on room service was sneaky Have stayed at better hotels in a more central location for less money,NEGATIVE
 Bathroom was very small,NEGATIVE
 Fantastic stay clean very central staff excellent,POSITIVE
 Room cleanliness friendly staff,POSITIVE
 Studio room v spacious,POSITIVE
 Very friendly staff Great place to stay for visiting London ,POSITIVE
 The bathroom extractor fan refused to go off so there was a constant hummm all night ,NEGATIVE
 Staff were really helpful and we got a free upgrade,POSITIVE
 We found staff in the carvery and grill to be unhelpful and we felt very rushed during our meal No do not disturb sign in the room so we were woken unexpectedly early by cleaner entering room Check out is not til 12 so we expected not to be disturbed,NEGATIVE
 Price,POSITIVE
 Leave ahead at least a day for your laundry cos the dryer will take at least 2 rounds 2 5 hours per round to do your clothes half dry ,NEGATIVE
 Location was good good sized comfortable room,POSITIVE
 The location was fantastic close to Kensington High Street and the tube station For a big and very busy hotel we found the staff particularly friendly and helpful ,POSITIVE
 Location of hotel,POSITIVE
 Huge bed massive shower,POSITIVE
 loved the location ideal for our planned schedule,POSITIVE
 Beautiful hotel,POSITIVE
 The beds were not as comfy as I had hoped but still a lovely stay ,POSITIVE
 In need of a refurb,NEGATIVE
 Room cleanliness good,POSITIVE
 It was nightmare experience never want to be there again ,NEGATIVE
 Bath Comfy beds Friendly staff,POSITIVE
 Meh rooms were fine if incredibly small Bathroom facilities and bed were good Mini bar selection wasn t very useful or tempting ,NEGATIVE
 It was clean and had a comfortable bed ,POSITIVE
 Queen bed should be standard in all rooms as double is to small for a couple ,NEGATIVE
 Quite far from the city centre Thankfully the metro is a few minutes walk away ,NEGATIVE
 The location cant be beat Everyone at hotel was very helpful and accommodating ,POSITIVE
 Location efficient check in,POSITIVE
 Bacon was oddly smoked at breakfast ,NEGATIVE
 Close to the Underground,POSITIVE
 Fully english breakfast was really good and staffs were so friendly Room service was incredibly good Cleaning service was perfect Honestly there is nothing to say as negative Dont think about my words at the above as I didnt like I just wanted to write different sections to make them more clear ,POSITIVE
 Very close to the bayswater and queenbridge underground ,POSITIVE
 staff were very helpful breakfast was lovely and the views from the sky top terrace were amazing,POSITIVE
 Perfect hotel,POSITIVE
 Room and bathroom was very clean,POSITIVE
 Room service,POSITIVE
 Apart from the O2 arena there was nothing to do in the area so a tube ride was needed to get to anything,NEGATIVE
 Good breakfast choice and quality was good ,POSITIVE
 Nothing really,NEGATIVE
 Staff were friendly ,POSITIVE
 The staff and location are great ,POSITIVE
 The staff were incredibly helpful in getting us to see things we really wanted to see and how to do it best,POSITIVE
 Location perfect for my purposes Access Ambience of the hotel comfortable but not too formal Staff without exception were polite and helpful ,POSITIVE
 good all round hotel very clean and large rooms,POSITIVE
 the service from from the bars was very good as was the bar snacks,POSITIVE
