review,sentiment,query_id,review_text,matched_variable_id,distance,matched_variable_description
 location GREAT staff were warm and welcoming arrival cookie delicious roof top bar great and beautiful view room had everything we needed comfortable bed clean bathroom bonus having a hair drier and ironing accessories room was comfortable and cosy,POSITIVE,57,,,,
 Rooms can be a little bit bigger,POSITIVE,58,,,,
 High tech Modern Perfect location Excellent service at every level Excellent well maintained facilities lots unexpected plesent surprises Many thanks ,POSITIVE,59,,,,
 Great location for theatre and sightseeing ,POSITIVE,60,,,,
 The man who checked us in was very polite and helpful excellent service The door staff were equally helpful The upgrade for access to the lounge was good value for money and the English breakfast was the best we had in many weeks in England Our room was clean and comfortable and the bed was especially good The view was brilliant ,POSITIVE,61,,,,
 Not really anything to complain about perhaps the operation off the room card security on the lifts could be more intuitive ,NEGATIVE,62,,,,
 The accommodation itself friendly English speaking staff excellent breakfast and evening meal ,POSITIVE,63,,,,
 Brilliant location Decent sized room Would definitely use again ,POSITIVE,64,,,,
 The building works,POSITIVE,65,,,,
 Quality of finish in the rooms stunning views and courtesy ferry to Canary Wharf shopping and tube ,POSITIVE,66,,,,
 Staff wonderful helpful and friendly Perfect location close to everything,POSITIVE,67,,,,
 Good location close to Buckingham palace Hyde park and Southbank Reception staff was very friendly and helpful throughout our stay ,POSITIVE,68,,,,
 Breakfast,POSITIVE,69,,,,
 Rooms could be bigger but in that central location fine,POSITIVE,70,,,,
 The location was excellent our room was a good size considering where we were located I particularly liked the wooden shutters which blocked out both light and noise The breakfast was excellent and only 10,POSITIVE,71,,,,
 Long corridors but good exercise ,POSITIVE,72,,,,
 Bed was very comfortable ,POSITIVE,73,,,,
 Room was very hot and there is no way to control temperature Continuous noise was there from window No water bottle Bed was not good Will not choose next time this hotel,NEGATIVE,74, Room was very hot and there is no way to control temperature Continuous noise was there from window No water bottle Bed was not good Will not choose next time this hotel,room_size,0.4433047199028019,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 The staff were superb clearly a very well managed hotel Our room was great the deal for breakfast added value All in all with parking costs it was not a cheap stay but it is London We would definitely consider this hotel again ,POSITIVE,75,,,,
 very narrow between bathtube and washbasin,NEGATIVE,76,,,,
 We didn t get the room we had booked we had asked for and paid for a river view and ended up not getting a view at all The heating didn t work the television did not show the main channels the hair drier didn t work ,NEGATIVE,77, We didn t get the room we had booked we had asked for and paid for a river view and ended up not getting a view at all The heating didn t work the television did not show the main channels the hair drier didn t work ,room_size,0.44416700340979726,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Excellent very modern and classy,POSITIVE,78,,,,
 The family rooms should have a pull out sofa and or more current sofa that the room can accommodate 4 people Was very tight for a family room ,NEGATIVE,79, The family rooms should have a pull out sofa and or more current sofa that the room can accommodate 4 people Was very tight for a family room ,room_size,0.3830022292261471,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Disturbed mornings with rails of cleaning tollys chatting staff and movement right outside the door Was promised a good view that I didnt get Empty minibar First timer Long waiting cues for inquiries and check ins Ate up at least 3 hours of my trip No joke Unfriendly greetings by conceirge and bell boys,NEGATIVE,80, Disturbed mornings with rails of cleaning tollys chatting staff and movement right outside the door Was promised a good view that I didnt get Empty minibar First timer Long waiting cues for inquiries and check ins Ate up at least 3 hours of my trip No joke Unfriendly greetings by conceirge and bell boys,staff_friendliness,0.43381801070018045,The courtesy and willingness of hotel staff to address guests' needs and concerns.
 Comfy bed and quiet room,POSITIVE,81,,,,
 Great location,POSITIVE,82,,,,
 Silvia gave us free drinks and a room upgrade to a suite with a beautiful room as it was my 30th birthday The breakfast was extensive and everything was being cooked regularly so was nice and fresh Couldn t fault the room it was immaculate Everything was perfect for my special day ,POSITIVE,83,,,,
 Staff were very welcoming and helpful Breakfast delicious ,POSITIVE,84,,,,
 Room smelt of smoke and was freezing cold,NEGATIVE,85,,,,
 We had a fantastic view of London from our room Amazing staff ,POSITIVE,86,,,,
 Nobody told me that my free upgrade which I had initially declined when it was offered at 20 00 was to a room overlooking a building site with all its incidental and early morning noise ,NEGATIVE,87,,,,
 Lobby and public areas relatively worn down and dated Crowded breakfast and service was not as good as in virtually any other London 4 stars I ve stayed in My room had window opening to a small courtyard which was extremely shappy,NEGATIVE,88, Lobby and public areas relatively worn down and dated Crowded breakfast and service was not as good as in virtually any other London 4 stars I ve stayed in My room had window opening to a small courtyard which was extremely shappy,room_size,0.4380506903639375,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Lack of local information in room ,NEGATIVE,89, Lack of local information in room ,room_size,0.4316506607172998,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Cheaper snacks and soft drinks ,POSITIVE,90,,,,
 N a,POSITIVE,91,,,,
 The staff at the room service section are rude and unfriendly Especially the manger,NEGATIVE,92, The staff at the room service section are rude and unfriendly Especially the manger,staff_friendliness,0.4363840302587309,The courtesy and willingness of hotel staff to address guests' needs and concerns.
 Shower water was not quite hot enough,NEGATIVE,93,,,,
 Room and hotel in very high level But I have came because i have expected to see the river view froom my room window The only thing I saw was my neighbors windows,NEGATIVE,94, Room and hotel in very high level But I have came because i have expected to see the river view froom my room window The only thing I saw was my neighbors windows,room_size,0.4493161717241087,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 We ate in the Italian restaurant on Friday evening Our waitress was exceptional but this was were our experience ended The food was truly atrocious My husbands spaghetti bolognese went back twice but was still luke warm My steak was below average and how a kitchen can not cook chips so that they are not rock hard is beyond belief Such a shame ,NEGATIVE,95,,,,
 The location is awesome The room is also very comfortable ,POSITIVE,96,,,,
 Good location Excellent rooms spacious ,POSITIVE,97,,,,
 Not very much apart from the location,NEGATIVE,98, Not very much apart from the location,location_accessibility,0.41991403310620345,"The convenience of the hotel's location relative to popular attractions, transportation, and services."
 1 quit place 2 clean,NEGATIVE,99, 1 quit place 2 clean,room_cleanliness,0.4274393852976213,"The level of cleanliness and hygiene maintained in the hotel's rooms, ensuring a comfortable stay for guests."
 Bed was very comfortable and cozy Room was super clean and I loved the fact that everything was newly built 2015 Staff were very friendly and willing to make guests feel at home Location was great because it was only 5 minutes by walk to the train station The Jubilee line is so efficient in terms of going to other touristic popular destinations Even if it looks quite far from the distance wise it only took about 15 min by train to arrive at the most popular stations like Green Park etc ,POSITIVE,100,,,,
 The hairdryer could have been more powerful ,NEGATIVE,101,,,,
 Everything Location staff room nice and clean breakfast good All good,POSITIVE,102,,,,
 It was perfect ,POSITIVE,103,,,,
 Big Size lower cost,NEGATIVE,104,,,,
 The hotel is little bit crowded especially during breakfast time The gym facilities need more improvement machines and space ,NEGATIVE,105, The hotel is little bit crowded especially during breakfast time The gym facilities need more improvement machines and space ,room_size,0.3712584474565553,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 The staff is poorly trained which results in slow check in Bin bag has not been replaced with baby nappy still in and the room and bed reeked of mould Elevator door can t shut properly and card key needs to be swiped at front desk every time before use ,NEGATIVE,106, The staff is poorly trained which results in slow check in Bin bag has not been replaced with baby nappy still in and the room and bed reeked of mould Elevator door can t shut properly and card key needs to be swiped at front desk every time before use ,room_cleanliness,0.435693073995606,"The level of cleanliness and hygiene maintained in the hotel's rooms, ensuring a comfortable stay for guests."
 The location was central to everything Clean friendly staff yummy fresh breakfast Everytime I looked out the window there was Big Ben Perfect We could walk or catch the hop on off bus just across the road ,POSITIVE,107,,,,
 nil,NEGATIVE,108,,,,
 Extremely small room and no soundproofing the noise from the above room kept me up in the middle of the night ,NEGATIVE,109, Extremely small room and no soundproofing the noise from the above room kept me up in the middle of the night ,room_size,0.4305677060447791,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Hard to find the hotel if you ve never been before and have only used the underground Next time I ll use the riverboat No tv remote in the room But I did find a great pub down the road because of this Reception was busy so I had a walk round the area ,NEGATIVE,110, Hard to find the hotel if you ve never been before and have only used the underground Next time I ll use the riverboat No tv remote in the room But I did find a great pub down the road because of this Reception was busy so I had a walk round the area ,location_accessibility,0.4139446189792211,"The convenience of the hotel's location relative to popular attractions, transportation, and services."
 Staff allowed people to use the escalator up to the 3rd floor and hi jack the lifts on their way down to the ground floor preventing those waiting on the ground floor from getting to floors 4 and above ,NEGATIVE,111,,,,
 Drink prices in the bar were quite expensive 35 for 2 drinks ,NEGATIVE,112,,,,
 The size and quality,POSITIVE,113,,,,
 The breakfast was very good ,POSITIVE,114,,,,
 4 star rated hotel Has not even got the quality of a 3 star Rude staff I arrived at 12 30 and had to wait till 3pm The receptionist told me that I can upgrade you to another room for 30 pounds a night and I only wanna do this is because I am in a good mood today Very unprofessional Bed was so uncomfortable I still have back pain from sleeping there for 5 nights Carpets are old The facility is absolutely different to the pictures advertised I really regret staying there and I paid 930 Australian dollars ,NEGATIVE,115, 4 star rated hotel Has not even got the quality of a 3 star Rude staff I arrived at 12 30 and had to wait till 3pm The receptionist told me that I can upgrade you to another room for 30 pounds a night and I only wanna do this is because I am in a good mood today Very unprofessional Bed was so uncomfortable I still have back pain from sleeping there for 5 nights Carpets are old The facility is absolutely different to the pictures advertised I really regret staying there and I paid 930 Australian dollars ,room_size,0.38928912442872987,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 The water is softened which is just a matter of opinion I just am not fan ,NEGATIVE,116,,,,
 Nothing It was perfect,NEGATIVE,117,,,,
 Nothing,NEGATIVE,118,,,,
 Aircon didn t work properly I booked a delux double room was told i was upgraded to club room which was across the road the room was so small there was hardly room for 2 suitcases Also difficult to get out of one side of the bed because of lack of space between bed and wall ,NEGATIVE,119, Aircon didn t work properly I booked a delux double room was told i was upgraded to club room which was across the road the room was so small there was hardly room for 2 suitcases Also difficult to get out of one side of the bed because of lack of space between bed and wall ,room_size,0.4001475756848988,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Very good special dinner for the Andre Rieu concert ,POSITIVE,120,,,,
 The bedroom was clean and modern with good facilities,POSITIVE,121,,,,
 The staff were most friendly and helped make the stay enjoyable ,POSITIVE,122,,,,
 Rooms very comfortable Breakfast superbly organised by extremely helpful and friendly staff,POSITIVE,123,,,,
 Very friendly and welcoming staff great location free breakfast was amazing ,POSITIVE,124,,,,
 Convenient for visiting the Royal Albert Hall Knightsbridge,POSITIVE,125,,,,
 eyal reception menger perfect bussines launch great stuff,POSITIVE,126,,,,
 Nothing,NEGATIVE,127,,,,
 The room was amazing I loved how everything was so modern the spa was beautiful,POSITIVE,128,,,,
 Great value for money Clean cheap Would stay here again,NEGATIVE,129, Great value for money Clean cheap Would stay here again,room_cleanliness,0.44377416037393796,"The level of cleanliness and hygiene maintained in the hotel's rooms, ensuring a comfortable stay for guests."
 Helps from bags carry staff,POSITIVE,130,,,,
 View from the room,POSITIVE,131,,,,
 Breakfast,POSITIVE,132,,,,
 Handy location near tube and shops Singaporean restaurant excellent,POSITIVE,133,,,,
 Friendly staff from reception to housekeeping Great location near underground station historical tourist sites and great bars and restaurants ,POSITIVE,134,,,,
 I brought my husband to London for his birthday The hotel was excellent the staff so helpful Would defo recommend staying here again Breakfast was a feast,POSITIVE,135,,,,
 Everything was perfect we can t fault this hotel From the staff to the food to the drinks to the room etc everything was amazing Definitely recommend this hotel ,POSITIVE,136,,,,
 Central location with easy access to main sights Large room with terrace and great view of London skyline Very helpful and friendly check in staff thanks Olivia ,POSITIVE,137,,,,
 Location,POSITIVE,138,,,,
 Very good location very friendly staff ,POSITIVE,139,,,,
 Check in and out rather slow Sky garden bar excessive price for drinks ,NEGATIVE,140,,,,
 Excellent location beautiful hotel Best gin n tonic ever in hotel bar with excellent live music ,POSITIVE,141,,,,
 The staff were very friendly and helpful They attended to every single requirement The club room was nice and spacious neat and tidy ,POSITIVE,142,,,,
 The bed was really big all the staff are really friendly hotel has an overall nice atmosphere ,POSITIVE,143,,,,
 The room was extra large ,POSITIVE,144,,,,
 Poor lightning,NEGATIVE,145,,,,
 In room at back of building could hear all the noise from school ,NEGATIVE,146,,,,
 pillows a bit thin and hard ,NEGATIVE,147,,,,
 The peace and accessibility,POSITIVE,148,,,,
 Rooms were tiny ,POSITIVE,149,,,,
 no a c very hot breakfast A bit high but good,POSITIVE,150,,,,
 The decor in the rooms needs sone uplating I always stay at this hotel when in London it needs some freshening up in order to maintain the standard of a four star hotel ,NEGATIVE,151, The decor in the rooms needs sone uplating I always stay at this hotel when in London it needs some freshening up in order to maintain the standard of a four star hotel ,room_cleanliness,0.3768938996453202,"The level of cleanliness and hygiene maintained in the hotel's rooms, ensuring a comfortable stay for guests."
 Location is central to so many places Within walking to Covent Garden tubes Leicester Square Trafalgar Square Would definitely stay again ,POSITIVE,152,,,,
 The hotel is in need of some maintenance our first room did not have a working air conditioner some light bulbs needed replacing and the maid service was inconsistent in the replacement of towels and cups and vacuuming ,NEGATIVE,153, The hotel is in need of some maintenance our first room did not have a working air conditioner some light bulbs needed replacing and the maid service was inconsistent in the replacement of towels and cups and vacuuming ,room_cleanliness,0.3654511186561593,"The level of cleanliness and hygiene maintained in the hotel's rooms, ensuring a comfortable stay for guests."
 nothing very good value for money,NEGATIVE,154,,,,
 There was no elevator the wing my room was in and I needed help with my suitcase The room was tiny which I didn t mind but a bigger person might even have trouble turning around there ,POSITIVE,155,,,,
 No vegetables in breakfast The main entrance of the hotel yard is big but it s not allowed to enter with the car not even to take out the suitcases from the car The parking is behind the hotel When you navigate to the hotel entrance you can easily miss the parking driveway ,NEGATIVE,156,,,,
 need more twin accessible rooms had to share double bed with my disabled mother which on the plus side was huge ,NEGATIVE,157, need more twin accessible rooms had to share double bed with my disabled mother which on the plus side was huge ,room_size,0.4443542204640899,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 the lifts where some time not working,NEGATIVE,158,,,,
 Location was perfect ,POSITIVE,159,,,,
 Wet Pillowcases ,NEGATIVE,160,,,,
 Room was excellent Executive lounge stunning,POSITIVE,161,,,,
 Staff Very Pleasant,POSITIVE,162,,,,
 Location,POSITIVE,163,,,,
 Very cumbersome check in process,NEGATIVE,164,,,,
 The huge bed in the king size room was so comfortable We had a great night sleep ,POSITIVE,165,,,,
 Comfortable bed and a good sized room Able to make hot drinks and having an ice machine in the hallway was a bonus Water and sweets were left for us on arrival Staff dealt with problems with the room quickly Could to see part of the London Eye and Big Ben from the window so we enjoyed the view Laundry room was useful when you have a longer stay ,POSITIVE,166,,,,
 See above,POSITIVE,167,,,,
 Great location friendly staff,POSITIVE,168,,,,
 Upon check in we got a card for 60 minutes of free wi fi For any more we would have had to pay This seems ridiculous to me Everyone has free wi fi these days I m willing to pay a little more for nice things at a nice hotel but paying for wi fi in 2015 is just too much ,NEGATIVE,169,,,,
 Great location with easy access to Queensway and Bayswater tube stations and about 15 minutes walk from Paddington Station Airport Express Good eateries in Westbourne Grove and good Chinese eateries in Queensway Edwardian dark oak panelling through public rooms is impressive ,POSITIVE,170,,,,
 The persons at the front desk were all very helpful and nice The location is ideal for making a short trip to Greenwich on the river on the sunny day as well as is convenient for both the underground and DLR The hotel ferry across the river run frequently so the access to Canary Wharf was good Enjoyed the breakfast with the view of a heron and seagulls ,POSITIVE,171,,,,
 Due to the nature of the event in London the price was premium Bathroom was small for an executive room,NEGATIVE,172, Due to the nature of the event in London the price was premium Bathroom was small for an executive room,room_size,0.42729896410691726,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Lower ground floor room with very small bathroom which reception told us was an upgrade ,NEGATIVE,173, Lower ground floor room with very small bathroom which reception told us was an upgrade ,room_size,0.4074089109171225,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 As wife said few More shops,NEGATIVE,174,,,,
 There is train connection near the hotel and its into the center zone Good room decoration ,POSITIVE,175,,,,
 The staff is really nice and the breakfast is perfect ,POSITIVE,176,,,,
 No bad points,POSITIVE,177,,,,
 Rooms were sometimes not made during the day Restaurant was not big enough to cope with breakfast,NEGATIVE,178, Rooms were sometimes not made during the day Restaurant was not big enough to cope with breakfast,room_size,0.41758592583926807,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Lovely area close to underground Main hotel foyer was very nice We didn t eat in the hotel preferring to go out to a couple of restaurants nearby Ffiona s for evening meal fantastic Bill s for breakfast good value for money Rooms were described as Superior but were really just your average hotel room Clean comfortable but fairly basic Bathroom was small but adequate ,POSITIVE,179,,,,
 I liked that the room was sound proof adequate room facilities ,POSITIVE,180,,,,
 We got an upgrade,POSITIVE,181,,,,
 Gorgeous hotel in a perfect location 2 minute walk to Westminster tube station View of London eye Big Ben Staff are more than helpful and very polite welcoming Rooms are beautiful elemis toiletries very clean Thank you ,POSITIVE,182,,,,
 The double bed was something else The mattress was extremely hard we hardly slept at all The bedcover was very thin and not wide enough to cover two people We would not stay there again ,NEGATIVE,183, The double bed was something else The mattress was extremely hard we hardly slept at all The bedcover was very thin and not wide enough to cover two people We would not stay there again ,room_size,0.44263792812080227,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 The staff were friendly and helpful The bar area provided a nice space for a late night drink after visiting the theatre ,POSITIVE,184,,,,
 How its clean not costly and comfortable ,POSITIVE,185,,,,
 Charged for a night because the Airline cancelled the flight ,NEGATIVE,186,,,,
 Only downside was the waiter at breakfast forgot to give me my tea as it was so busy ,NEGATIVE,187,,,,
 very clean,POSITIVE,188,,,,
 Stuff left in room from the last person that stayed there,NEGATIVE,189,,,,
 The room was very shabby light bulbs not working black tape over splits in an armchair all furniture very tatty Very very disappointed and the room was supposed to be an upgrade Breakfast wasn t very warm either I would of preferred a travel lodge,NEGATIVE,190,,,,
 Convenient to underground and Kensington High Street,POSITIVE,191,,,,
 Hot food on breakfast buffet a little dry ,NEGATIVE,192,,,,
 Building works Be,POSITIVE,193,,,,
 nothing,NEGATIVE,194,,,,
 Comfy and clean room with great modern features ,POSITIVE,195,,,,
 The rooms are very large as was the bed Super King and very comfortable Hotel is bright and modern located just off the motorway ,POSITIVE,196,,,,
 The hotel is beautiful and well looked after We even got updated as we turned up early and our room was not available ,POSITIVE,197,,,,
 The staff where extremely professional helpful friendly The breakfast selection available is amazing The hotel is very close to the tube station we would def stay here again ,POSITIVE,198,,,,
 Being greeted by a happy member of staff before even entering the hotel Helpful and friendly reception staff The cleanliness of the room and the amazing choice at breakfast ,POSITIVE,199,,,,
 Excellent location for wembley stadium arena ,POSITIVE,200,,,,
 Nothing Perfect for the price,NEGATIVE,201,,,,
 We had a river view which was beautiful Meal in the restaurant which was lovely Need to book in advance Tempura vegetables and thai vegetable curry for me Hubby had crispy duck and chicken curry He would have been happy with a whole table of crispy duck A lovely end to a great day Great mocktails aswell Easy access to the tube station Either Westminster or Vauxhall within 10 minutes ,POSITIVE,202,,,,
 Everything I like it it s amazing ,POSITIVE,203,,,,
 1 Nice hotel in green area 2 Strong Wifi 3 Good room,POSITIVE,204,,,,
 Everything,POSITIVE,205,,,,
 Comfortable and clean rooms quiet environment ,POSITIVE,206,,,,
 Public areas are lovely staff wonderful,POSITIVE,207,,,,
 Location staff value for money ,NEGATIVE,208, Location staff value for money ,staff_friendliness,0.35543707265388574,The courtesy and willingness of hotel staff to address guests' needs and concerns.
 The service was excellent and staff very professional and very accommodating when we had to move hotels because of a burst boiler,POSITIVE,209,,,,
 Beautiful hotel we had an amazing stay from the moment we walked though the door ,POSITIVE,210,,,,
 Excellent choice of breakfast ,POSITIVE,211,,,,
 Managers,POSITIVE,212,,,,
 The staff were useless There were many examples but the main one was when I asked concierge how long it takes to travel by taxi to the airport and the answer I received was I dunno Then I asked how to get there using public transport and again the answer was I dunno There are only 3 airports in london so concierge should really know the details of how to get to all of them ,NEGATIVE,213,,,,
 The concierge looked great ,POSITIVE,214,,,,
 Overall very pleased with the hotel,POSITIVE,215,,,,
 Exceptional in every way ,POSITIVE,216,,,,
 Location to public transport tube station a short walk Restaurants cafes and shops very close and convenient,POSITIVE,217,,,,
 The installation facilities breakfast big bed ,POSITIVE,218,,,,
 Excellent location,POSITIVE,219,,,,
 Very nice room ,POSITIVE,220,,,,
 Lovely Stay at Park Plaza Westminster Beautiful Hotel room lovely room and facilities excellent breakfast very helpful staff,POSITIVE,221,,,,
 Good hotel Nice clean spacious room Respect to the young barman with afro hair for professional Work ,POSITIVE,222,,,,
 Room was clean and modern,POSITIVE,223,,,,
 Conceirge staff got us directions and information about every place we wanted to visit and the hotel is perfectly located 1 minute walk to subway and 10 minute walk to major museums ,POSITIVE,224,,,,
 Everything was perfect ,POSITIVE,225,,,,
 Super breakfast and comfy beds,POSITIVE,226,,,,
 the tower wing is a little old and dated old carpets however since we only go there to sleep did not bother us much ,NEGATIVE,227, the tower wing is a little old and dated old carpets however since we only go there to sleep did not bother us much ,room_size,0.4454366779538487,"The spaciousness and overall size of the hotel's rooms, contributing to guest comfort and satisfaction."
 Very comfortable friendly hotel spacious room with nice view across city Room was cleaned and made up daily ,POSITIVE,228,,,,
 Breakfast is expensive ,NEGATIVE,229,,,,
